date,high,low
01-Sep-2021,26028.29,25975.93
02-Sep-2021,26359.31,25967.98
03-Sep-2021,26052.81,25811.77
06-Sep-2021,26176.43,25827.17
07-Sep-2021,26458.88,26135.4
08-Sep-2021,26560.04,26164.79
09-Sep-2021,26125.09,25624.52
10-Sep-2021,26205.91,25870.71
13-Sep-2021,25886.9,25570.84
14-Sep-2021,25900.68,25377.83
15-Sep-2021,25411.91,24990.94
16-Sep-2021,25045.55,24505.21
17-Sep-2021,24920.76,24424.74
20-Sep-2021,24640.43,23871.84
21-Sep-2021,24284.87,23771.46
23-Sep-2021,24827.46,24313.68
24-Sep-2021,24636.64,24095.79
27-Sep-2021,24509.0,24131.42
28-Sep-2021,24679.46,24232.98
29-Sep-2021,24694.46,24045.99
30-Sep-2021,24660.68,24346.75
04-Oct-2021,24478.68,23908.05
05-Oct-2021,24180.08,23681.44
06-Oct-2021,24259.2,23812.35
07-Oct-2021,24741.28,24310.11
08-Oct-2021,25064.8,24595.58
11-Oct-2021,25437.16,25161.8
12-Oct-2021,25188.78,24865.8
15-Oct-2021,25330.96,24929.56
18-Oct-2021,25425.32,25123.25
19-Oct-2021,25808.62,25458.03
20-Oct-2021,26214.63,25915.62
21-Oct-2021,26229.8,25840.59
22-Oct-2021,26195.29,25976.03
25-Oct-2021,26212.9,25929.67
26-Oct-2021,26234.94,25905.08
27-Oct-2021,25795.17,25555.17
28-Oct-2021,25736.38,25473.16
29-Oct-2021,25516.22,25314.24
02-Nov-2021,25639.66,25030.69
03-Nov-2021,25187.09,24808.59
04-Nov-2021,25244.98,25010.36
05-Nov-2021,25049.37,24724.39
08-Nov-2021,24837.77,24633.57
09-Nov-2021,24956.37,24678.66
10-Nov-2021,25013.11,24481.26
11-Nov-2021,25324.66,24836.21
12-Nov-2021,25527.13,25210.56
15-Nov-2021,25483.26,25230.33
16-Nov-2021,25746.71,25410.87
17-Nov-2021,25667.81,25520.67
18-Nov-2021,25414.21,25222.6
19-Nov-2021,25077.15,24825.43
22-Nov-2021,25099.95,24869.94
23-Nov-2021,24794.72,24618.74
24-Nov-2021,24851.53,24557.63
25-Nov-2021,24762.61,24532.82
26-Nov-2021,24502.68,24062.26
29-Nov-2021,24134.32,23774.31
30-Nov-2021,23888.37,23175.37
02-Dec-2021,23807.0,23517.52
03-Dec-2021,23802.77,23451.93
06-Dec-2021,23628.3,23314.97
07-Dec-2021,23989.78,23512.5
08-Dec-2021,24097.98,23907.3
09-Dec-2021,24324.84,24153.72
10-Dec-2021,24214.68,23916.63
13-Dec-2021,24385.44,23936.93
14-Dec-2021,23817.58,23560.13
15-Dec-2021,23745.75,23325.92
16-Dec-2021,23526.05,23155.62
17-Dec-2021,23463.78,23158.7
20-Dec-2021,23145.3,22665.25
21-Dec-2021,23100.18,22730.08
22-Dec-2021,23258.71,22979.76
23-Dec-2021,23264.75,23027.15
24-Dec-2021,23383.19,23186.57
28-Dec-2021,23319.44,23099.48
29-Dec-2021,23253.98,23008.28
30-Dec-2021,23248.26,22990.24
31-Dec-2021,23590.12,23394.77
03-Jan-2022,23605.03,23193.19
04-Jan-2022,23439.3,23146.89
05-Jan-2022,23323.77,22851.5
06-Jan-2022,23082.95,22709.6
07-Jan-2022,23497.5,23162.85
10-Jan-2022,23790.52,23399.09
11-Jan-2022,23863.83,23595.01
12-Jan-2022,24402.17,24069.52
13-Jan-2022,24561.48,24289.19
14-Jan-2022,24383.32,24140.81
17-Jan-2022,24408.88,24111.74
18-Jan-2022,24385.05,24009.71
19-Jan-2022,24286.14,23951.6
20-Jan-2022,24952.35,24233.18
21-Jan-2022,24982.03,24723.92
24-Jan-2022,24795.54,24570.87
25-Jan-2022,24366.89,24001.96
26-Jan-2022,24487.3,24123.7
27-Jan-2022,23952.01,23565.0
28-Jan-2022,23848.02,23507.03
31-Jan-2022,23975.7,23469.76
04-Feb-2022,24609.33,24140.89
07-Feb-2022,24616.5,24365.89
08-Feb-2022,24548.05,24149.75
09-Feb-2022,24896.43,24690.45
10-Feb-2022,25050.59,24649.74
11-Feb-2022,24957.81,24732.65
14-Feb-2022,24733.11,24482.86
15-Feb-2022,24570.09,24219.9
16-Feb-2022,24728.93,24548.05
17-Feb-2022,24861.82,24523.95
18-Feb-2022,24763.37,24284.53
21-Feb-2022,24231.08,23998.77
22-Feb-2022,23813.64,23336.78
23-Feb-2022,23745.07,23500.92
24-Feb-2022,23376.37,22786.39
25-Feb-2022,23046.86,22718.15
28-Feb-2022,22818.17,22406.12
